PROTEIN,LIGAND,ITERATION,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9
1zum,ZINC000000467374,1,-6.673,-6.587,-6.558,-6.5,-6.397,-6.377,-6.319,-6.27,-6.199
,ZINC000000058491,1,-7.225,-6.967,-6.786,-6.623,-6.486,-6.472,-6.429,-6.41,-6.243
,ZINC000000355432,1,-7.117,-6.827,-6.668,-6.645,-6.339,-6.337,-6.239,-6.218,-6.173
,ZINC000000035972,1,-6.999,-6.852,-6.755,-6.747,-6.589,-6.553,-6.496,-6.382,-6.212
,ZINC000000461497,1,-7.061,-6.864,-6.663,-6.534,-6.481,-6.465,-6.428,-6.409,-6.256
,ZINC000000457045,1,-7.256,-6.689,-6.675,-6.445,-6.425,-6.298,-6.267,-6.25,-6.218
,ZINC000000265227,1,-6.975,-6.957,-6.568,-6.29,-6.241,-6.193,-6.186,-6.121,-6.114
,ZINC000002658115,1,-6.891,-6.853,-6.71,-6.469,-6.463,-6.365,-6.289,-6.238,-6.168
,ZINC000008304059,1,-7.704,-6.922,-6.881,-6.849,-6.777,-6.764,-6.734,-6.66,-6.591
,ZINC000005443434,1,-7.163,-7.018,-6.832,-6.631,-6.521,-6.457,-6.384,-6.355,-6.108
,ZINC000006699173,1,-6.756,-6.71,-6.606,-6.582,-6.569,-6.568,-6.541,-6.497,-6.421
,ZINC000072331480,1,-7.313,-7.016,-6.993,-6.978,-6.85,-6.707,-6.666,-6.626,-6.621
,ZINC000007753782,1,-7.252,-7.05,-6.865,-6.845,-6.824,-6.747,-6.657,-6.583,-6.522
,ZINC000007753795,1,-6.86,-6.847,-6.635,-6.614,-6.586,-6.391,-6.384,-6.359,-6.285
,ZINC000000457948,1,-6.941,-6.843,-6.837,-6.775,-6.771,-6.603,-6.409,-6.374,-6.371
,ZINC000000858920,1,-7.223,-7.222,-7.037,-7.005,-6.827,-6.776,-6.769,-6.598,-6.468
,ZINC000072331481,1,-7.082,-7.004,-6.995,-6.878,-6.848,-6.758,-6.745,-6.617,-6.569
,ZINC000000579468,1,-7.545,-6.845,-6.678,-6.669,-6.527,-6.503,-6.46,-6.437,-6.378
,ZINC000033329233,1,-6.056,-5.9,-5.785,-5.758,-5.677,-5.584,-5.565,-5.482,-5.436
,ZINC000003479467,1,-7.151,-6.916,-6.817,-6.505,-6.456,-6.378,-6.347,-6.219,-6.154
,ZINC000008034535,1,-7.053,-6.965,-6.691,-6.542,-6.457,-6.432,-6.392,-6.389,-6.366
,ZINC000072331783,1,-7.208,-6.924,-6.914,-6.811,-6.664,-6.608,-6.538,-6.538,-6.475
,ZINC000168464013,1,-7.14,-6.865,-6.803,-6.763,-6.719,-6.487,-6.474,-6.418,-6.349
,ZINC000008305035,1,-7.276,-7.202,-7.13,-6.959,-6.71,-6.689,-6.658,-6.619,-6.596
,ZINC000189269691,1,-7.098,-6.976,-6.961,-6.922,-6.805,-6.606,-6.588,-6.482,-6.455
,ZINC000074954970,1,-7.163,-7.027,-7.018,-6.926,-6.891,-6.635,-6.535,-6.473,-6.408
,ZINC000119545555,1,-7.079,-7.026,-6.647,-6.638,-6.583,-6.566,-6.543,-6.519,-6.379
,ZINC000130685357,1,-7.153,-7.153,-6.959,-6.84,-6.79,-6.777,-6.731,-6.698,-6.561
,ZINC000346330789,1,-6.86,-6.751,-6.629,-6.572,-6.531,-6.456,-6.442,-6.209,-6.158
,ZINC000121600553,1,-7.039,-6.907,-6.88,-6.639,-6.579,-6.579,-6.482,-6.447,-6.318
,ZINC000162653352,1,-7.388,-6.839,-6.837,-6.597,-6.537,-6.413,-6.296,-6.282,-6.178
,ZINC001529727324,1,-7.228,-7.108,-6.888,-6.794,-6.742,-6.7,-6.687,-6.508,-6.36
,ZINC000195213236,1,-7.185,-6.97,-6.908,-6.841,-6.838,-6.772,-6.669,-6.632,-6.609
,ZINC000081284608,1,-6.917,-6.642,-6.409,-6.406,-6.317,-6.272,-6.19,-6.154,-6.086
,ZINC000345238893,1,-7.034,-6.981,-6.563,-6.472,-6.467,-6.408,-6.316,-6.241,-6.235
,ZINC000361442554,1,-7.155,-7.041,-6.935,-6.832,-6.694,-6.62,-6.527,-6.495,-6.463
,ZINC000107912714,1,-7.046,-6.674,-6.643,-6.5,-6.439,-6.4,-6.358,-6.307,-6.275
,ZINC000000051353,1,-7.224,-7.138,-7.086,-7.086,-7.043,-6.954,-6.865,-6.787,-6.704
,ZINC000347950856,1,-7.081,-7.067,-7.015,-6.946,-6.895,-6.893,-6.875,-6.826,-6.807
,ZINC000355204635,1,-7.232,-7.08,-6.993,-6.892,-6.831,-6.816,-6.807,-6.723,-6.582
,ZINC000182765606,1,-7.106,-7.058,-7.016,-6.97,-6.936,-6.885,-6.701,-6.663,-6.603
,ZINC000358045656,1,-7.018,-7.008,-7.004,-6.931,-6.896,-6.84,-6.832,-6.813,-6.713
,ZINC000346350717,1,-7.068,-7.003,-6.97,-6.887,-6.884,-6.866,-6.801,-6.745,-6.736
,ZINC000761886364,1,-6.842,-6.734,-6.615,-6.597,-6.572,-6.533,-6.481,-6.446,-6.43
,ZINC000017320796,1,-7.057,-6.655,-6.608,-6.539,-6.445,-6.391,-6.184,-6.153,-5.982
,ZINC000431179303,1,-7.232,-7.163,-6.913,-6.556,-6.503,-6.501,-6.485,-6.37,-6.368
,ZINC000499077294,1,-6.953,-6.943,-6.88,-6.824,-6.756,-6.672,-6.581,-6.564,-6.545
